Mar 14 14:31:33 lvl1: 	System "ngpc" has no games! Ignoring it.
Mar 14 14:31:33 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/pcengine" is not a directory!
Mar 14 14:31:33 lvl1: 	System "pcengine" has no games! Ignoring it.
Mar 14 14:31:33 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/psx" is not a directory!
Mar 14 14:31:33 lvl1: 	System "psx" has no games! Ignoring it.
Mar 14 14:31:33 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/retropie/gamelist.xml"...
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/audiosettings.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/configedit.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/esthemes.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/filemanager.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/raspiconfig.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/retroarch.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/retronetplay.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/rpsetup.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/runcommand.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/showip.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	File "/home/pi/RetroPie/retropiemenu/splashscreen.rp" does not exist! Ignoring.
Mar 14 14:31:33 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/sega32x" is not a directory!
Mar 14 14:31:33 lvl1: 	System "sega32x" has no games! Ignoring it.
Mar 14 14:31:33 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/segacd" is not a directory!
Mar 14 14:31:33 lvl1: 	System "segacd" has no games! Ignoring it.
Mar 14 14:31:33 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/sg-1000" is not a directory!
Mar 14 14:31:33 lvl1: 	  Warning from theme "/etc/emulationstation/themes/crevettetheme/sg-1000/theme.xml"
    could not find file "./logo.png" (which resolved to "/etc/emulationstation/themes/crevettetheme/sg-1000/logo.png") 
Mar 14 14:31:33 lvl1: 	  Warning from theme "/etc/emulationstation/themes/crevettetheme/sg-1000/theme.xml"
    could not find file "./logo.png" (which resolved to "/etc/emulationstation/themes/crevettetheme/sg-1000/logo.png") 
Mar 14 14:31:33 lvl1: 	  Warning from theme "/etc/emulationstation/themes/crevettetheme/sg-1000/theme.xml"
    could not find file "./logo.png" (which resolved to "/etc/emulationstation/themes/crevettetheme/sg-1000/logo.png") 
Mar 14 14:31:33 lvl1: 	System "sg-1000" has no games! Ignoring it.
Mar 14 14:31:33 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/snes/gamelist.xml"...
Mar 14 14:31:34 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/vectrex" is not a directory!
Mar 14 14:31:34 lvl1: 	System "vectrex" has no games! Ignoring it.
Mar 14 14:31:34 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/zxspectrum" is not a directory!
Mar 14 14:31:34 lvl1: 	System "zxspectrum" has no games! Ignoring it.
Mar 14 14:31:35 lvl2: 	Added known joystick DragonRise Inc.   Generic   USB  Joystick   (instance ID: 0, device index: 0)
Mar 14 14:31:35 lvl2: 	Added known joystick DragonRise inc.   Generic   USB  Joystick   (instance ID: 1, device index: 1)
Mar 14 14:31:42 lvl2: 	 req sound [basic.menuOpen]
Mar 14 14:31:42 lvl2: 	   (missing)
Mar 14 14:32:32 lvl2: 	 req sound [basic.menuOpen]
Mar 14 14:32:32 lvl2: 	   (missing)
Mar 14 14:33:02 lvl0: 	Error parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"!
	No document element found
Mar 14 14:33:04 lvl0: 	Error parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"!
	No document element found
Mar 14 14:33:05 lvl0: 	Error parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"!
	No document element found
Mar 14 14:33:09 lvl0: 	Error parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"!
	No document element found
